fecha_de_apertura,dia_de_apertura,fecha_ocurrencia_hechos,dia_ocurrencia,hora_militar_ocurrencia_hechos,conforman_unidad_domestica,fisica,verbal,economica,psicologica,sexual,genero_m_f_victima,edad_victima,victima_conflicto_armado,etnia_victima,estado_civil_victima,escolaridad_victima,corregimiento_victima,comuna_de_la_victima,barrio_victima,ocupacion_victima,no_hijos_victima,vivienda_victima,nucleo_familiar_victima,numero_hermanos_victima,genero_agresor_m_f,parentesco_frente_a_la_victima,no_de_hijos_agresor,edad_agresor,estado_civil_agresor,escolaridad_agresor,ocupacion_agresor,corregimiento_agresor,comuna_agresor,barrio,tipo_vivienda
2022-10-01T00:00:00.000,martes,2022-10-01T00:00:00.000,martes,08:00 a. m.,si,si,si,no,si,no,masculino,28.0,si,ninguno,unión libre,bachiller completo,ninguno,comuna3,emilia,empleado,1.0,familiar,3,1.0,femenino,ex-conyugue,2.0,7.0,soltero(a),primaria incompleta,oficios varios,ninguno,comuna3,emilia,alquilada
2022-10-01T00:00:00.000,martes,no aplica,no aplica,no aplica,no,si,si,no,si,no,masculino,22.0,no,ninguno,soltero(a),bachiller completo,ninguno,comuna8,la virginia,independiente,1.0,propia,3,,masculino,ex-conyugue,1.0,10.0,soltero(a),primaria completa,independiente,ninguno,comuna1,zamorano,alquilada
2022-12-01T00:00:00.000,miercoles,2022-07-01T00:00:00.000,viernes,no aplica,si,si,si,no,si,no,femenino,69.0,no,ninguno,soltero(a),no aplica,ninguno,comuna1,simon bolivar,ama de casa,,propia,4,,femenino,no aplica,,,no aplica,no aplica,no registro,ninguno,comuna1,simon bolivar,familiar
2022-12-01T00:00:00.000,miercoles,2022-11-01T00:00:00.000,martes,no aplica,si,si,si,no,si,no,femenino,27.0,no,ninguno,soltero(a),postgrado,ninguno,comuna7,el trebol,estudiante,,alquilada,2,2.0,masculino,padre,3.0,27.0,divorciado(a),bachiller completo,funcionario,ninguno,comuna7,el trebol,alquilada
2022-12-01T00:00:00.000,miercoles,2022-04-01T00:00:00.000,martes,no aplica,no,si,si,no,si,no,femenino,31.0,si,ninguno,soltero(a),bachiller completo,ninguno,comuna7,sesquicentenario,independiente,2.0,alquilada,1,2.0,masculino,ex-conyugue,,,soltero(a),no aplica,despachador,ninguno,comuna2,portal de las palmas,no aplica
13/01/2022,jueves,no aplica,no aplica,no aplica,no,no,si,no,si,no,femenino,35.0,no,ninguno,soltero(a),postgrado,ninguno,comuna3,concordia,contadora,1.0,alquilada,3,,masculino,ex-conyugue,1.0,5.0,soltero(a),bachiller completo,montacarguista,ninguno,no aplica,sanfernando ( cali),familiar
13/01/2022,jueves,2022-05-01T00:00:00.000,miercoles,no aplica,no,si,si,no,si,no,femenino,26.0,si,ninguno,casado(a),técnico,ninguno,comuna3,el prado,diseñadora de maquillaje,1.0,alquilada,3,2.0,masculino,ex-conyugue,1.0,5.0,casado(a),técnico,rea.audiovisual,ninguno,no aplica,nueva castilla,alquilada
13/01/2022,jueves,no aplica,no aplica,no aplica,no,si,si,no,si,no,femenino,20.0,si,ninguno,unión libre,técnico,ninguno,comuna5,mariacano,mecanica dental,,alquilada,2,,masculino,padre,1.0,29.0,casado(a),no aplica,desempleado,ninguno,comuna5,no aplica,alquilada
13/01/2022,jueves,2022-12-01T00:00:00.000,miercoles,no aplica,no,si,si,no,si,no,femenino,20.0,no,ninguno,soltero(a),bachiller completo,ninguno,comuna3,concordia,no registro,3.0,no aplica,no aplica,,masculino,ex-conyugue,,,no aplica,no aplica,no registro,la herradura,comuna9,no aplica,no aplica
2022-11-01T00:00:00.000,martes,28/12/2021,martes,no aplica,no,si,si,no,si,no,femenino,31.0,no,ninguno,unión libre,técnico,ninguno,comuna5,sancarlos,analista de nomina,,familiar,2,,masculino,conyugue,,,unión libre,tecnólogo,auxiliar de nomina,ninguno,comuna2,sendero de belen,propia
14/01/2022,viernes,no aplica,no aplica,no aplica,si,si,si,no,si,no,femenino,64.0,no,ninguno,casado(a),no aplica,guanabanal,comuna10,cgto guanabanal,ama de casa,3.0,propia,3,,masculino,conyugue,3.0,42.0,casado(a),bachiller completo,pensionado,guanabanal,comuna10,no aplica,propia
14/01/2022,viernes,no aplica,no aplica,no aplica,si,si,si,no,si,no,femenino,30.0,si,ninguno,unión libre,bachiller incompleto,bolo san isidro,comuna11,cgto bolo san isidro,ama de casa,2.0,alquilada,no aplica,,masculino,conyugue,2.0,7.0,unión libre,bachiller completo,independiente,bolo san isidro,comuna11,no aplica,alquilada
15/01/2022,sabado,no aplica,no aplica,no aplica,no,si,si,no,si,no,masculino,22.0,si,ninguno,soltero(a),bachiller completo,ninguno,comuna7,luis carlos galan,independiente,1.0,alquilada,7,5.0,femenino,ex-conyugue,1.0,6.0,soltero(a),no aplica,no registro,no aplica,comuna3,olimpico,alquilada
15/01/2022,sabado,no aplica,no aplica,no aplica,no,no,si,no,si,no,masculino,37.0,no,ninguno,unión libre,tecnólogo,ninguno,no aplica,no aplica,independiente,1.0,familiar,3,,femenino,ex-conyugue,1.0,10.0,unión libre,postgrado,no registro,ninguno,comuna5,el jardin,no aplica
16/01/2022,domingo,no aplica,no aplica,no aplica,no,si,si,no,si,no,femenino,29.0,si,ninguno,soltero(a),bachiller completo,ninguno,comuna3,olimpico,ama de casa,4.0,alquilada,6,1.0,masculino,ex-conyugue,2.0,1.0,soltero(a),tecnólogo,electricista,ninguno,comuna3,olimpico,familiar
18/01/2022,martes,no aplica,no aplica,no aplica,si,si,si,no,si,no,femenino,56.0,no,ninguno,soltero(a),postgrado,ninguno,comuna6,centro,docente,,propia,5,2.0,masculino,padre,3.0,56.0,separado(a),primaria completa,no registro,ninguno,comuna6,centro,familiar
20/01/2022,jueves,2022-07-01T00:00:00.000,viernes,no aplica,no,si,si,no,si,no,masculino,26.0,no,ninguno,soltero(a),bachiller completo,ninguno,comuna6,cidadela palmira,independiente,1.0,alquilada,2,,femenino,ex-conyugue,1.0,2.0,soltero(a),técnico,desempleada,ninguno,comuna7,el trebol,alquilada
20/01/2022,jueves,no aplica,no aplica,no aplica,si,si,si,no,si,no,femenino,26.0,no,ninguno,soltero(a),no aplica,ninguno,comuna7,delicias,ama de casa,2.0,no aplica,no aplica,,masculino,conyugue,4.0,5.0,soltero(a),no aplica,descargando,ninguno,comuna7,delicias,no aplica
21/01/2022,viernes,20/01/2022,jueves,no aplica,no,si,si,no,si,no,femenino,43.0,no,ninguno,no aplica,técnico,ninguno,comuna6,colombina,ama de casa,3.0,alquilada,4,4.0,masculino,ex-conyugue,1.0,3.0,no aplica,bachiller completo,ebanista,ninguno,comuna6,libertadores,alquilada
22/01/2022,sabado,21/01/2022,viernes,no aplica,si,no,si,no,si,no,femenino,67.0,no,ninguno,soltero(a),no aplica,ninguno,comuna7,sembrador,ama de casa,,propia,no aplica,,masculino,madre,,,soltero(a),bachiller completo,motorraton,ninguno,comuna7,sembrador,propia
22/01/2022,sabado,16/01/2022,domingo,01:10 p. m.,no,no,si,no,si,no,femenino,33.0,no,ninguno,soltero(a),postgrado,ninguno,comuna2,alameda,coordinadora,1.0,no aplica,3,,masculino,ex-conyugue,1.0,10.0,soltero(a),bachiller completo,policia,ninguno,no aplica,santaelena,familiar
22/01/2022,sabado,no aplica,no aplica,no aplica,no,no,si,no,si,no,femenino,37.0,no,ninguno,soltero(a),tecnólogo,ninguno,comuna1,los mangos,asistente administrativo,2.0,alquilada,3,,masculino,ex-conyugue,2.0,14.0,divorciado(a),bachiller completo,asesor industrial,ninguno,no aplica,no registro,alquilada
23/01/2022,domingo,23/01/2022,domingo,11:30 p. m.,no,si,si,no,si,no,femenino,63.0,no,ninguno,casado(a),bachiller completo,ninguno,comuna3,santa ana,ama de casa,3.0,alquilada,3,6.0,masculino,ex-conyugue,1.0,31.0,casado(a),bachiller completo,pulidor de carros,ninguno,comuna3,frayluis,no aplica
23/01/2022,domingo,24/12/2021,viernes,no aplica,no,si,si,no,si,no,femenino,15.0,no,ninguno,soltero(a),bachiller incompleto,ninguno,no aplica,no aplica,no registro,,no aplica,no aplica,,masculino,ex-conyugue,,,no aplica,no aplica,oprador maquina,ninguno,no aplica,no aplica,no aplica
24/01/2022,lunes,no aplica,no aplica,no aplica,no,si,si,no,si,no,femenino,32.0,no,ninguno,unión libre,no aplica,,comuna 14,la buitrera,mercaderista,2.0,familiar,4,4.0,masculino,ex-conyugue,,29.0,unión libre,no aplica,no registro,tienda nueva,comuna13,no aplica,no aplica
25/01/2022,martes,no aplica,no aplica,no aplica,no,no,si,no,si,no,femenino,33.0,no,ninguno,soltero(a),bachiller completo,ninguno,comuna3,el prado,independiente,1.0,alquilada,5,3.0,masculino,ex-conyugue,3.0,20.0,no aplica,primaria completa,trasportador,ninguno,comuna2,unicentro,alquilada
27/01/2022,jueves,27/01/2022,jueves,03:30 a. m.,no,si,si,no,si,no,femenino,21.0,si,ninguno,soltero(a),bachiller completo,ninguno,comuna3,emilia,operaria,2.0,alquilada,3,3.0,masculino,ex-conyugue,2.0,4.0,soltero(a),primaria completa,ayudante,ninguno,no aplica,no aplica,alquilada
28/01/2022,viernes,no aplica,no aplica,no aplica,no,si,si,no,si,no,femenino,38.0,no,ninguno,soltero(a),no aplica,ninguno,comuna7,barrio nuevo,no registro,,no aplica,4,7.0,masculino,hijo(a),,,soltero(a),primaria completa,construccion,ninguno,comuna7,barrio nuevo,no aplica
28/01/2022,viernes,no aplica,no aplica,no aplica,no,si,si,no,si,no,femenino,55.0,no,ninguno,soltero(a),bachiller incompleto,ninguno,comuna5,sanjose,comerciante,,alquilada,no aplica,2.0,masculino,conyugue,5.0,,no aplica,bachiller completo,guarda de seguridad,ninguno,comuna5,sanjose,alquilada
30/01/2022,domingo,28/01/2022,viernes,no aplica,no,si,si,no,si,no,femenino,19.0,no,ninguno,soltero(a),bachiller completo,ninguno,comuna3,alicanto,estudiante,,alquilada,2,,masculino,conyugue,,21.0,soltero(a),no aplica,auxiliar administrativo,ninguno,comuna1,alameda,propia
31/01/2022,lunes,29/01/2022,sabado,no aplica,si,si,si,no,si,no,femenino,32.0,no,ninguno,soltero(a),postgrado,ninguno,comuna7,petruc,artista tatuadora,1.0,alquilada,2,2.0,masculino,ex-conyugue,1.0,7.0,no aplica,postgrado,asesor callcenter,ninguno,comuna7,petruc,alquilada
